repeat,parallelism,variant,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
5,16,cache-only,Goexec,Empty,steady,32000000,423863,75495943.53,,,17,0
5,16,candidate,Goexec,Empty,steady,32000000,313334,102127428.59,,,17,0
5,16,baseline,Goexec,Empty,steady,32000000,1454817,21995881.03,,,17,0
6,4,cache-only,Goexec,Yield,steady,32000000,514061,62249391.49,,,5,0
6,4,baseline,Goexec,Yield,steady,32000000,485328,65934694.31,,,5,0
6,4,candidate,Goexec,Yield,steady,32000000,507682,63031520.68,,,5,0
6,4,baseline,Goexec,Empty,steady,32000000,477540,67009999.94,,,5,0
6,4,cache-only,Goexec,Empty,steady,32000000,664122,48183887.76,,,5,0
6,4,candidate,Goexec,Empty,steady,32000000,613649,52147070.82,,,5,0
6,16,cache-only,Goexec,Yield,steady,32000000,428248,74723028.53,,,17,0
6,16,baseline,Goexec,Yield,steady,32000000,1321847,24208533.05,,,17,0
6,16,candidate,Goexec,Yield,steady,32000000,405000,79012223.75,,,17,0
6,16,cache-only,Goexec,Empty,steady,32000000,462478,69192355.73,,,17,0
6,16,baseline,Goexec,Empty,steady,32000000,1367820,23394891.14,,,17,0
6,16,candidate,Goexec,Empty,steady,32000000,465514,68741084.12,,,17,0
