run_id,binary_sha256,variant,backend,access,workload,parallelism,lanes,records,seed,repeat,warmup_requested,seconds_requested,valid,exit_code,error,setup_seconds,warmup_ops,operations,seconds,ops_per_second,p50_ns,p99_ns,errors,handoffs,rocksdb_granted,rocksdb_diverted,peak_rss_bytes,peak_threads_sampled,cpu_user_seconds,cpu_system_seconds,wall_seconds
goexec-blocking-rocksdb-sdk-create-p4-c4-r4-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,create,4,4,100000,20260917,4,3,10,True,0,,1.376295625,79011,336666,10.000082209,33666.32323252334,91071,163583,0,0,2020021,0,849166336,57,25.282234,9.874621,14.814861625000049
tokio-rocksdb-sdk-create-p4-c4-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,create,4,4,100000,20260917,4,3,10,True,0,,1.398935875,66033,305339,10.041533042,30407.607954171985,86719,200575,0,0,1801218,30841,782139392,54,21.032088,6.815026,14.882859875000122
tokio-rocksdb-sdk-read-p1-c1-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,read,1,1,100000,20260917,2,3,10,True,0,,3.244972625,58395,194629,10.00001525,19462.87031912276,50143,71487,0,0,0,973171,264273920,45,10.158834,6.184413,16.316675959000122
goexec-rocksdb-sdk-read-p1-c1-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,read,1,1,100000,20260917,2,3,10,True,0,,3.007033,59934,199914,10.000035416,19991.32919870851,49183,72511,0,0,0,999591,263979008,48,10.334777,6.416349,16.084085290999838
goexec-blocking-rocksdb-sdk-read-p1-c1-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,read,1,1,100000,20260917,2,3,10,True,0,,1.35101425,187450,625271,10.000031959,62526.90017027975,15919,23423,0,0,3126380,0,264011776,48,14.142167,1.835481,14.409234916999822
tokio-memory-sdk-update-p1-c4-r3-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,update,1,4,100000,20260917,3,3,10,True,0,,2.436553541,219987,731325,10.000078375,73131.92682852349,54111,107903,0,0,0,0,3294052352,10,15.333767,0.47785,15.506386082999825
goexec-memory-sdk-update-p1-c4-r3-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,update,1,4,100000,20260917,3,3,10,True,0,,2.238726375,218332,728136,10.000033209,72813.35819411877,54239,71679,0,0,0,0,3280158720,13,15.473587,0.628832,15.304443250000077
goexec-rocksdb-sdk-mixed-p4-c4-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,mixed,4,4,100000,20260917,4,3,10,True,0,,1.339412375,237868,770624,10.000057458,77061.95721740622,42943,110463,0,0,3658664,194481,907182080,54,44.288772,8.569617,14.530919584000003
tokio-rocksdb-sdk-mixed-p4-c4-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,mixed,4,4,100000,20260917,4,3,10,True,0,,1.3549423329999999,248856,815279,10.000046083,81527.52429670977,40511,100863,0,0,3870069,206348,921583616,51,44.353624,6.561193,14.553529540999989
goexec-blocking-rocksdb-sdk-mixed-p4-c4-r4-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,mixed,4,4,100000,20260917,4,3,10,True,0,,1.3408167500000001,250038,824089,10.000073208,82408.29670534148,40959,98559,0,0,4120464,0,924975104,54,45.55319,7.049393,14.530007290999947
